2023-06-16; 18:27:26.793777; 25 PING; 18:27:27.031956; [61/25] PONG 2
2023-06-16; ; ; 18:27:27.946814; 62 keepalive
2023-06-16; ; ; 18:27:27.946814; 63 keepalive
2023-06-16; 18:27:28.168177; 26 PING; 18:27:28.624430; [64/26] PONG 1
2023-06-16; 18:27:27.634904; 26 PING; 18:27:28.624430; [65/26] PONG 2
2023-06-16; 18:27:30.939899; 27 PING; (проигнорировано)
2023-06-16; 18:27:30.561899; 27 PING; 18:27:31.130412; [66/27] PONG 2
2023-06-16; ; ; 18:27:32.939770; 67 keepalive
2023-06-16; ; ; 18:27:32.939770; 68 keepalive
2023-06-16; 18:27:32.620903; 28 PING; 18:27:33.443908; [69/28] PONG 1
2023-06-16; 18:27:33.098804; 28 PING; 18:27:33.789133; [70/28] PONG 2
2023-06-16; 18:27:33.631514; 29 PING; 18:27:34.597843; [71/29] PONG 1
2023-06-16; 18:27:34.597843; 30 PING; 18:27:35.308308; [72/30] PONG 1
2023-06-16; 18:27:35.878121; 29 PING; 18:27:36.193422; [73/29] PONG 2
2023-06-16; 18:27:36.635749; 30 PING; 18:27:36.968900; [74/30] PONG 2
2023-06-16; 18:27:37.239988; 31 PING; 18:27:37.920398; [75/31] PONG 1
2023-06-16; ; ; 18:27:37.950142; 76 keepalive
2023-06-16; ; ; 18:27:37.950142; 77 keepalive
2023-06-16; 18:27:37.920398; 32 PING; 18:27:38.187767; [78/32] PONG 1
2023-06-16; 18:27:37.888965; 31 PING; 18:27:38.709306; [79/31] PONG 2
2023-06-16; 18:27:39.894804; 33 PING; 18:27:40.301799; [80/33] PONG 1
2023-06-16; 18:27:40.508121; 32 PING; 18:27:40.807969; [81/32] PONG 2
2023-06-16; 18:27:41.566925; 34 PING; 18:27:41.742178; [82/34] PONG 1
2023-06-16; ; ; 18:27:42.953732; 83 keepalive
2023-06-16; ; ; 18:27:42.953732; 84 keepalive
2023-06-16; 18:27:43.078759; 35 PING; (проигнорировано)
2023-06-16; 18:27:42.857742; 33 PING; 18:27:43.504901; [85/33] PONG 2
2023-06-16; 18:27:45.165775; 34 PING; 18:27:46.051480; [86/34] PONG 2
2023-06-16; 18:27:46.003474; 36 PING; 18:27:46.861157; [87/36] PONG 1
2023-06-16; 18:27:46.861157; 37 PING; 18:27:47.035153; [88/37] PONG 1
2023-06-16; ; ; 18:27:47.953908; 89 keepalive
2023-06-16; ; ; 18:27:47.953908; 90 keepalive
2023-06-16; 18:27:47.590157; 35 PING; 18:27:48.112908; [91/35] PONG 2
2023-06-16; 18:27:47.161901; 38 PING; 18:27:48.144941; [92/38] PONG 1
2023-06-16; 18:27:49.255862; 36 PING; 18:27:49.822765; [93/36] PONG 2
2023-06-16; 18:27:49.714054; 39 PING; 18:27:50.615204; [94/39] PONG 1
2023-06-16; 18:27:50.615204; 40 PING; 18:27:51.061770; [95/40] PONG 1
2023-06-16; 18:27:52.217572; 41 PING; (проигнорировано)
2023-06-16; 18:27:52.058563; 37 PING; 18:27:52.609943; [96/37] PONG 2
2023-06-16; ; ; 18:27:52.953894; 97 keepalive
2023-06-16; ; ; 18:27:52.953894; 98 keepalive
2023-06-16; 18:27:53.287091; 38 PING; (проигнорировано)
2023-06-16; 18:27:53.525903; 42 PING; 18:27:53.953183; [99/42] PONG 1
2023-06-16; 18:27:55.180984; 39 PING; 18:27:55.784536; [100/39] PONG 2
2023-06-16; 18:27:56.545155; 43 PING; 18:27:56.874779; [101/43] PONG 1
2023-06-16; ; ; 18:27:57.968858; 102 keepalive
2023-06-16; ; ; 18:27:57.968858; 103 keepalive
2023-06-16; 18:27:57.570809; 40 PING; 18:27:58.521204; [104/40] PONG 2
2023-06-16; 18:27:58.300903; 44 PING; 18:27:58.805260; [105/44] PONG 1
2023-06-16; 18:27:59.151868; 41 PING; 18:27:59.482816; [106/41] PONG 2
2023-06-16; 18:28:00.191905; 45 PING; 18:28:00.600940; [107/45] PONG 1
2023-06-16; 18:28:01.108745; 46 PING; 18:28:02.020169; [108/46] PONG 1
2023-06-16; 18:28:01.581764; 42 PING; 18:28:02.051168; [109/42] PONG 2
2023-06-16; ; ; 18:28:02.984136; 110 keepalive
2023-06-16; ; ; 18:28:02.984136; 111 keepalive
2023-06-16; 18:28:03.667691; 47 PING; 18:28:03.952685; [112/47] PONG 1
2023-06-16; 18:28:03.365691; 43 PING; 18:28:04.301739; [113/43] PONG 2
2023-06-16; 18:28:04.589742; 44 PING; 18:28:05.098261; [114/44] PONG 2
2023-06-16; 18:28:05.290261; 45 PING; 18:28:05.607774; [115/45] PONG 2
2023-06-16; 18:28:05.749774; 48 PING; 18:28:06.341773; [116/48] PONG 1
2023-06-16; 18:28:07.076781; 49 PING; 18:28:07.444745; [117/49] PONG 1
2023-06-16; 18:28:06.805825; 46 PING; 18:28:07.667747; [118/46] PONG 2
2023-06-16; ; ; 18:28:07.985759; 119 keepalive
2023-06-16; ; ; 18:28:07.985759; 120 keepalive
2023-06-16; 18:28:08.095917; 50 PING; 18:28:08.460883; [121/50] PONG 1
2023-06-16; 18:28:08.777171; 47 PING; 18:28:08.983183; [122/47] PONG 2
2023-06-16; 18:28:09.393939; 51 PING; 18:28:09.997816; [123/51] PONG 1
2023-06-16; 18:28:10.709578; 52 PING; 18:28:11.060165; [124/52] PONG 1
2023-06-16; 18:28:11.474163; 48 PING; 18:28:11.616169; [125/48] PONG 2
2023-06-16; 18:28:11.266161; 53 PING; 18:28:12.255171; [126/53] PONG 1
2023-06-16; ; ; 18:28:12.988974; 127 keepalive
2023-06-16; ; ; 18:28:12.988974; 128 keepalive
2023-06-16; 18:28:13.020969; 49 PING; (проигнорировано)
2023-06-16; 18:28:12.796972; 54 PING; 18:28:13.801225; [129/54] PONG 1
2023-06-16; 18:28:14.484750; 55 PING; 18:28:14.644752; [130/55] PONG 1
2023-06-16; 18:28:13.991771; 50 PING; 18:28:14.707751; [131/50] PONG 2
2023-06-16; 18:28:15.560805; 56 PING; 18:28:15.944805; [132/56] PONG 1
2023-06-16; 18:28:16.372939; 51 PING; 18:28:17.361808; [133/51] PONG 2
2023-06-16; 18:28:16.484947; 57 PING; 18:28:17.425808; [134/57] PONG 1
2023-06-16; ; ; 18:28:17.998205; 135 keepalive
2023-06-16; ; ; 18:28:17.998205; 136 keepalive
2023-06-16; 18:28:18.237210; 52 PING; 18:28:18.667753; [137/52] PONG 2
2023-06-16; 18:28:19.241095; 58 PING; 18:28:19.893803; [138/58] PONG 1
2023-06-16; 18:28:18.921059; 53 PING; 18:28:19.893803; [139/53] PONG 2
2023-06-16; 18:28:20.356980; 54 PING; 18:28:20.955028; [140/54] PONG 2
2023-06-16; 18:28:21.823167; 55 PING; 18:28:22.344263; [141/55] PONG 2
2023-06-16; 18:28:22.012811; 59 PING; 18:28:22.661876; [142/59] PONG 1
2023-06-16; 18:28:22.948810; 60 PING; (проигнорировано)
2023-06-16; ; ; 18:28:22.996811; 143 keepalive
2023-06-16; ; ; 18:28:22.996811; 144 keepalive
2023-06-16; 18:28:24.319391; 56 PING; 18:28:24.781389; [145/56] PONG 2
2023-06-16; 18:28:25.017148; 61 PING; 18:28:25.695265; [146/61] PONG 1
2023-06-16; 18:28:25.695265; 62 PING; 18:28:26.028847; [147/62] PONG 1
2023-06-16; 18:28:25.363911; 57 PING; 18:28:26.363010; [148/57] PONG 2
2023-06-16; 18:28:27.124875; 58 PING; (проигнорировано)
2023-06-16; 18:28:26.696833; 63 PING; 18:28:27.204218; [149/63] PONG 1
